state,district,latitude,longitude,soil_type,ph,nitrogen,phosphorus,potassium,organic_carbon,electrical_conductivity,moisture_content,temperature,Cropping_Season,Crop,Months,Rainfall,Humidity,Solar_Radiation,Wind_Speed,Soil_Fertility_Index,Water_Holding_Capacity,Micronutrients_Zinc,Micronutrients_Iron,Micronutrients_Boron,Historical_Yield,Pest_Disease_Incidence,Irrigation_Type,Market_Price,Fertilizer_Usage,Crop_Variety,NDVI
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Soybean,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5358.4,6.1,Sprinkler,39.28,224.2,JS-335,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Soybean,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4506.9,5.8,Sprinkler,39.28,71.3,MAUS-2,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Groundnut,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3975.0,6.2,Rainfed,20.95,183.3,TMV7,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Kharif,Groundnut,"6,7,8,9,10",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,1205.4,6.5,Rainfed,20.95,204.5,JL24,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Wheat,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2446.6,9.6,Rainfed,20.84,86.8,HD2967,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Wheat,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,1071.0,5.6,Flood,20.84,283.9,PBW343,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Wheat,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5877.9,6.5,Rainfed,20.84,116.5,Lok1,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Barley,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2300.2,6.7,Drip,24.39,120.1,RD2503,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Barley,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2261.1,5.1,Rainfed,24.39,110.0,RD2552,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Mustard,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5009.9,7.0,Drip,28.58,135.0,Pusa Bold,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Mustard,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,1667.3,1.1,Sprinkler,28.58,295.3,Varuna,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Gram,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2661.6,6.0,Sprinkler,24.96,89.5,JG11,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Gram,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2148.0,4.1,Rainfed,24.96,293.2,JG14,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Lentils,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3124.2,6.6,Drip,27.98,186.3,PL406,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Rabi,Lentils,"10,11,12,1,2,3,4",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5107.5,2.7,Drip,27.98,80.6,DPL62,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Watermelon,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3386.7,9.9,Sprinkler,23.5,122.3,Sugar Baby,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Watermelon,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4677.8,4.4,Sprinkler,23.5,264.6,Arka Manik,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Sunflower,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4122.2,7.6,Flood,21.38,239.3,TNAUSUF7,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Sunflower,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4059.8,2.6,Rainfed,21.38,253.5,PSH1967,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Cucumber,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5113.0,1.2,Sprinkler,25.7,70.7,Pusa Sanyog,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Cucumber,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,5002.9,5.6,Flood,25.7,102.3,Swarn Ageti,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Pumpkin,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,3478.8,5.6,Rainfed,29.86,87.6,Arka Chandan,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Pumpkin,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,1117.7,4.1,Rainfed,29.86,242.7,Pusa Vishwas,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Muskmelon,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,2920.1,4.1,Rainfed,23.7,241.3,Hara Madhu,0.306
Nagaland,Kohima,25.67,94.11,Laterite,6.4,334.0,34.6,168.2,0.63,0.79,15.4,24.0,Zaid,Muskmelon,"3,4,5,6",22.1,57.3,12.31,15.2,High,31.4,3.97,6.86,0.31,4428.9,6.1,Drip,23.7,216.9,Pusa Madhuras,0.306
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Rice,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5364.3,7.2,Sprinkler,25.33,283.8,IR64,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Rice,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2334.8,3.0,Rainfed,25.33,266.3,Basmati 1121,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Rice,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5650.9,7.0,Drip,25.33,148.8,Swarna,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Rice,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2126.9,8.9,Flood,25.33,238.6,MTU1010,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Maize,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,1099.4,6.8,Rainfed,18.48,245.7,HQPM1,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Maize,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,1948.2,8.6,Sprinkler,18.48,115.8,DHM117,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Maize,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5681.9,3.6,Flood,18.48,265.7,Suwan-1,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Cotton,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,4531.8,9.7,Drip,56.07,229.1,Bunny Bt,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Cotton,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2492.1,9.3,Rainfed,56.07,211.1,RCH 134,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Cotton,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,4812.6,9.2,Sprinkler,56.07,284.4,LRA 5166,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Soybean,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5765.4,8.3,Drip,44.83,290.2,JS-335,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Soybean,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,3519.7,1.0,Flood,44.83,135.8,MAUS-2,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Groundnut,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,4864.0,1.3,Flood,28.96,147.3,TMV7,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Kharif,Groundnut,"6,7,8,9,10",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5968.6,2.0,Sprinkler,28.96,70.4,JL24,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Wheat,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,1751.3,6.6,Flood,23.48,131.4,HD2967,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Wheat,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5677.2,9.3,Flood,23.48,153.1,PBW343,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Wheat,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5876.9,9.2,Flood,23.48,290.3,Lok1,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Barley,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5677.8,4.8,Sprinkler,31.8,292.8,RD2503,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Barley,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5716.2,2.5,Flood,31.8,195.5,RD2552,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Mustard,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,3771.8,8.5,Sprinkler,23.9,267.8,Pusa Bold,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Mustard,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2367.9,8.5,Drip,23.9,52.1,Varuna,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Gram,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2523.1,6.5,Sprinkler,22.57,141.2,JG11,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Gram,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,1998.9,6.3,Drip,22.57,105.9,JG14,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Lentils,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5445.9,9.2,Sprinkler,25.37,73.6,PL406,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Rabi,Lentils,"10,11,12,1,2,3,4",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2049.2,6.1,Flood,25.37,236.1,DPL62,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Watermelon,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,4821.2,8.4,Flood,30.16,244.0,Sugar Baby,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Watermelon,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,3271.1,1.7,Sprinkler,30.16,237.8,Arka Manik,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Sunflower,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2931.3,2.3,Flood,22.39,251.4,TNAUSUF7,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Sunflower,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,4499.8,4.0,Flood,22.39,41.1,PSH1967,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Cucumber,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,4156.2,3.8,Sprinkler,27.61,61.9,Pusa Sanyog,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Cucumber,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5236.6,7.9,Flood,27.61,274.1,Swarn Ageti,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Pumpkin,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,1153.6,8.9,Flood,27.32,183.8,Arka Chandan,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Pumpkin,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,5460.3,2.2,Sprinkler,27.32,276.6,Pusa Vishwas,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Muskmelon,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,1527.6,1.4,Sprinkler,27.28,260.3,Hara Madhu,0.633
Nagaland,Dimapur,25.91,93.73,Saline,6.76,202.0,12.5,286.6,0.54,1.32,24.2,31.1,Zaid,Muskmelon,"3,4,5,6",6.9,47.4,22.73,9.5,Medium,32.2,2.11,7.42,0.42,2231.2,9.7,Rainfed,27.28,72.5,Pusa Madhuras,0.633
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Rice,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3326.9,9.9,Flood,25.47,65.3,IR64,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Rice,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3173.1,3.4,Flood,25.47,260.6,Basmati 1121,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Rice,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,1640.4,2.5,Rainfed,25.47,40.4,Swarna,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Rice,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,1876.1,5.7,Sprinkler,25.47,43.4,MTU1010,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Maize,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3253.9,9.6,Flood,23.08,107.7,HQPM1,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Maize,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,5503.1,1.3,Rainfed,23.08,82.8,DHM117,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Maize,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3918.0,6.4,Drip,23.08,151.0,Suwan-1,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Cotton,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,5316.0,6.0,Drip,59.34,111.2,Bunny Bt,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Cotton,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,5498.8,4.8,Rainfed,59.34,193.9,RCH 134,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Cotton,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,1586.9,6.6,Rainfed,59.34,246.3,LRA 5166,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Soybean,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,5755.2,2.6,Sprinkler,35.89,65.9,JS-335,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Soybean,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,1474.9,2.3,Drip,35.89,287.6,MAUS-2,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Groundnut,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3983.9,5.0,Rainfed,26.74,252.2,TMV7,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Kharif,Groundnut,"6,7,8,9,10",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3337.3,5.3,Drip,26.74,50.0,JL24,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Wheat,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,1475.9,5.9,Rainfed,24.5,52.3,HD2967,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Wheat,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3266.5,3.7,Rainfed,24.5,78.9,PBW343,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Wheat,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3903.4,8.6,Sprinkler,24.5,146.0,Lok1,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Barley,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,1893.5,1.2,Rainfed,21.73,191.1,RD2503,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Barley,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3102.9,5.9,Sprinkler,21.73,43.0,RD2552,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Mustard,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,3842.0,4.9,Sprinkler,20.79,106.6,Pusa Bold,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Mustard,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,5373.7,5.7,Sprinkler,20.79,106.7,Varuna,0.716
Nagaland,Mokokchung,26.32,94.52,Red,6.32,199.6,22.1,202.0,0.53,1.35,23.7,34.8,Rabi,Gram,"10,11,12,1,2,3,4",16.6,62.3,18.58,18.7,Medium,20.5,4.06,7.29,0.4,2565.5,1.9,Flood,30.33,74.8,JG11,0.716
